"","GEOID","NAME","variable","estimate","moe"
"1420","17031840000","Census Tract 8400, Cook County, Illinois","B08006_008",282,125
"1421","17031840100","Census Tract 8401, Cook County, Illinois","B08006_008",335,117
"1422","17031840200","Census Tract 8402, Cook County, Illinois","B08006_008",235,92
"1423","17031840300","Census Tract 8403, Cook County, Illinois","B08006_008",567,198
"1424","17031840400","Census Tract 8404, Cook County, Illinois","B08006_008",334,147
"1425","17031840700","Census Tract 8407, Cook County, Illinois","B08006_008",300,124
"1426","17031840800","Census Tract 8408, Cook County, Illinois","B08006_008",156,70
"1427","17031841000","Census Tract 8410, Cook County, Illinois","B08006_008",163,67
"1428","17031841100","Census Tract 8411, Cook County, Illinois","B08006_008",422,181
"1429","17031841200","Census Tract 8412, Cook County, Illinois","B08006_008",773,213
"1430","17031841300","Census Tract 8413, Cook County, Illinois","B08006_008",809,189
"1431","17031841400","Census Tract 8414, Cook County, Illinois","B08006_008",161,63
"1432","17031841500","Census Tract 8415, Cook County, Illinois","B08006_008",295,108
"1433","17031841600","Census Tract 8416, Cook County, Illinois","B08006_008",60,36
"1434","17031841700","Census Tract 8417, Cook County, Illinois","B08006_008",114,57
"1435","17031841800","Census Tract 8418, Cook County, Illinois","B08006_008",161,62
"1436","17031841900","Census Tract 8419, Cook County, Illinois","B08006_008",752,146
"1437","17031842000","Census Tract 8420, Cook County, Illinois","B08006_008",147,57
"1438","17031842100","Census Tract 8421, Cook County, Illinois","B08006_008",549,202
"1439","17031842200","Census Tract 8422, Cook County, Illinois","B08006_008",669,218
"1440","17031842300","Census Tract 8423, Cook County, Illinois","B08006_008",730,233
"1441","17031842400","Census Tract 8424, Cook County, Illinois","B08006_008",491,188
"1442","17031842500","Census Tract 8425, Cook County, Illinois","B08006_008",139,57
"1443","17031842600","Census Tract 8426, Cook County, Illinois","B08006_008",427,149
"1444","17031842800","Census Tract 8428, Cook County, Illinois","B08006_008",518,215
"1445","17031842900","Census Tract 8429, Cook County, Illinois","B08006_008",191,86
"1446","17031843000","Census Tract 8430, Cook County, Illinois","B08006_008",143,55
"1447","17031843100","Census Tract 8431, Cook County, Illinois","B08006_008",130,76
"1448","17031843200","Census Tract 8432, Cook County, Illinois","B08006_008",293,92
"1449","17031843300","Census Tract 8433, Cook County, Illinois","B08006_008",203,96
"1450","17031843400","Census Tract 8434, Cook County, Illinois","B08006_008",144,61
"1451","17031843500","Census Tract 8435, Cook County, Illinois","B08006_008",150,81
"1452","17031843600","Census Tract 8436, Cook County, Illinois","B08006_008",284,127
"1453","17031843700","Census Tract 8437, Cook County, Illinois","B08006_008",413,91
"1454","17031843800","Census Tract 8438, Cook County, Illinois","B08006_008",61,48
"1455","17031843900","Census Tract 8439, Cook County, Illinois","B08006_008",482,142
"1456","17031980000","Census Tract 9800, Cook County, Illinois","B08006_008",0,11
"1457","17031980100","Census Tract 9801, Cook County, Illinois","B08006_008",0,11
"1458","17031990000","Census Tract 9900, Cook County, Illinois","B08006_008",0,11
"1459","17033880100","Census Tract 8801, Crawford County, Illinois","B08006_008",8,16
"1460","17033880200","Census Tract 8802, Crawford County, Illinois","B08006_008",0,11
"1461","17033880300","Census Tract 8803, Crawford County, Illinois","B08006_008",7,16
"1462","17033880400","Census Tract 8804, Crawford County, Illinois","B08006_008",4,8
"1463","17033880500","Census Tract 8805, Crawford County, Illinois","B08006_008",3,5
"1464","17033880600","Census Tract 8806, Crawford County, Illinois","B08006_008",0,11
"1465","17035972400","Census Tract 9724, Cumberland County, Illinois","B08006_008",12,18
"1466","17035972500","Census Tract 9725, Cumberland County, Illinois","B08006_008",0,11
"1467","17035972600","Census Tract 9726, Cumberland County, Illinois","B08006_008",3,5
"1468","17037000100","Census Tract 1, DeKalb County, Illinois","B08006_008",0,15
"1469","17037000200","Census Tract 2, DeKalb County, Illinois","B08006_008",0,15
"1470","17037000300","Census Tract 3, DeKalb County, Illinois","B08006_008",31,45
"1471","17037000400","Census Tract 4, DeKalb County, Illinois","B08006_008",2,4
"1472","17037000500","Census Tract 5, DeKalb County, Illinois","B08006_008",0,11
"1473","17037000600","Census Tract 6, DeKalb County, Illinois","B08006_008",38,34
"1474","17037000700","Census Tract 7, DeKalb County, Illinois","B08006_008",16,17
"1475","17037000800","Census Tract 8, DeKalb County, Illinois","B08006_008",16,25
"1476","17037000900","Census Tract 9, DeKalb County, Illinois","B08006_008",0,15
"1477","17037001001","Census Tract 10.01, DeKalb County, Illinois","B08006_008",242,168
"1478","17037001002","Census Tract 10.02, DeKalb County, Illinois","B08006_008",439,325
"1479","17037001300","Census Tract 13, DeKalb County, Illinois","B08006_008",53,49
"1480","17037001400","Census Tract 14, DeKalb County, Illinois","B08006_008",52,55
"1481","17037001500","Census Tract 15, DeKalb County, Illinois","B08006_008",0,11
"1482","17037001600","Census Tract 16, DeKalb County, Illinois","B08006_008",17,27
