"","GEOID","NAME","variable","estimate","moe"
"1780","17063000600","Census Tract 6, Grundy County, Illinois","B08014_003",180,69
"1781","17063000700","Census Tract 7, Grundy County, Illinois","B08014_003",356,103
"1782","17063000800","Census Tract 8, Grundy County, Illinois","B08014_003",265,87
"1783","17063000900","Census Tract 9, Grundy County, Illinois","B08014_003",222,59
"1784","17065973100","Census Tract 9731, Hamilton County, Illinois","B08014_003",163,74
"1785","17065973200","Census Tract 9732, Hamilton County, Illinois","B08014_003",60,54
"1786","17065973300","Census Tract 9733, Hamilton County, Illinois","B08014_003",54,38
"1787","17067953700","Census Tract 9537, Hancock County, Illinois","B08014_003",128,36
"1788","17067953800","Census Tract 9538, Hancock County, Illinois","B08014_003",211,63
"1789","17067953900","Census Tract 9539, Hancock County, Illinois","B08014_003",61,30
"1790","17067954000","Census Tract 9540, Hancock County, Illinois","B08014_003",220,124
"1791","17067954100","Census Tract 9541, Hancock County, Illinois","B08014_003",190,78
"1792","17067954200","Census Tract 9542, Hancock County, Illinois","B08014_003",129,43
"1793","17067954300","Census Tract 9543, Hancock County, Illinois","B08014_003",185,53
"1794","17069970900","Census Tract 9709, Hardin County, Illinois","B08014_003",66,46
"1795","17069971000","Census Tract 9710, Hardin County, Illinois","B08014_003",90,48
"1796","17071973300","Census Tract 9733, Henderson County, Illinois","B08014_003",172,57
"1797","17071973400","Census Tract 9734, Henderson County, Illinois","B08014_003",87,36
"1798","17071973500","Census Tract 9735, Henderson County, Illinois","B08014_003",198,58
"1799","17073030100","Census Tract 301, Henry County, Illinois","B08014_003",431,156
"1800","17073030201","Census Tract 302.01, Henry County, Illinois","B08014_003",253,119
"1801","17073030202","Census Tract 302.02, Henry County, Illinois","B08014_003",163,60
"1802","17073030203","Census Tract 302.03, Henry County, Illinois","B08014_003",201,91
"1803","17073030300","Census Tract 303, Henry County, Illinois","B08014_003",381,146
"1804","17073030400","Census Tract 304, Henry County, Illinois","B08014_003",159,49
"1805","17073030500","Census Tract 305, Henry County, Illinois","B08014_003",184,69
"1806","17073030600","Census Tract 306, Henry County, Illinois","B08014_003",289,129
"1807","17073030800","Census Tract 308, Henry County, Illinois","B08014_003",378,136
"1808","17073030900","Census Tract 309, Henry County, Illinois","B08014_003",360,110
"1809","17073031000","Census Tract 310, Henry County, Illinois","B08014_003",140,81
"1810","17073031100","Census Tract 311, Henry County, Illinois","B08014_003",183,48
"1811","17073031200","Census Tract 312, Henry County, Illinois","B08014_003",146,44
"1812","17075950100","Census Tract 9501, Iroquois County, Illinois","B08014_003",292,98
"1813","17075950200","Census Tract 9502, Iroquois County, Illinois","B08014_003",202,61
"1814","17075950300","Census Tract 9503, Iroquois County, Illinois","B08014_003",210,52
"1815","17075950400","Census Tract 9504, Iroquois County, Illinois","B08014_003",653,192
"1816","17075950500","Census Tract 9505, Iroquois County, Illinois","B08014_003",334,66
"1817","17075950600","Census Tract 9506, Iroquois County, Illinois","B08014_003",225,56
"1818","17075950700","Census Tract 9507, Iroquois County, Illinois","B08014_003",206,68
"1819","17075950800","Census Tract 9508, Iroquois County, Illinois","B08014_003",139,44
"1820","17075950900","Census Tract 9509, Iroquois County, Illinois","B08014_003",254,72
"1821","17077010100","Census Tract 101, Jackson County, Illinois","B08014_003",177,73
"1822","17077010200","Census Tract 102, Jackson County, Illinois","B08014_003",322,93
"1823","17077010300","Census Tract 103, Jackson County, Illinois","B08014_003",278,92
"1824","17077010400","Census Tract 104, Jackson County, Illinois","B08014_003",267,103
"1825","17077010600","Census Tract 106, Jackson County, Illinois","B08014_003",393,132
"1826","17077010700","Census Tract 107, Jackson County, Illinois","B08014_003",444,196
"1827","17077010800","Census Tract 108, Jackson County, Illinois","B08014_003",675,186
"1828","17077010900","Census Tract 109, Jackson County, Illinois","B08014_003",249,132
"1829","17077011000","Census Tract 110, Jackson County, Illinois","B08014_003",603,191
"1830","17077011100","Census Tract 111, Jackson County, Illinois","B08014_003",343,103
"1831","17077011200","Census Tract 112, Jackson County, Illinois","B08014_003",1438,306
"1832","17077011400","Census Tract 114, Jackson County, Illinois","B08014_003",581,160
"1833","17077011600","Census Tract 116, Jackson County, Illinois","B08014_003",302,113
"1834","17077011700","Census Tract 117, Jackson County, Illinois","B08014_003",435,139
"1835","17079977300","Census Tract 9773, Jasper County, Illinois","B08014_003",103,54
"1836","17079977400","Census Tract 9774, Jasper County, Illinois","B08014_003",274,98
"1837","17079977500","Census Tract 9775, Jasper County, Illinois","B08014_003",142,95
"1838","17081050100","Census Tract 501, Jefferson County, Illinois","B08014_003",262,88
"1839","17081050200","Census Tract 502, Jefferson County, Illinois","B08014_003",159,49
"1840","17081050300","Census Tract 503, Jefferson County, Illinois","B08014_003",249,61
"1841","17081050400","Census Tract 504, Jefferson County, Illinois","B08014_003",189,47
"1842","17081050500","Census Tract 505, Jefferson County, Illinois","B08014_003",471,109
"1843","17081050600","Census Tract 506, Jefferson County, Illinois","B08014_003",306,101
"1844","17081050700","Census Tract 507, Jefferson County, Illinois","B08014_003",382,99
"1845","17081050800","Census Tract 508, Jefferson County, Illinois","B08014_003",236,67
"1846","17081050900","Census Tract 509, Jefferson County, Illinois","B08014_003",435,140
"1847","17081051000","Census Tract 510, Jefferson County, Illinois","B08014_003",189,76
"1848","17081051100","Census Tract 511, Jefferson County, Illinois","B08014_003",379,90
"1849","17083010100","Census Tract 101, Jersey County, Illinois","B08014_003",312,149
"1850","17083010200","Census Tract 102, Jersey County, Illinois","B08014_003",213,118
"1851","17083010300","Census Tract 103, Jersey County, Illinois","B08014_003",208,96
"1852","17083010401","Census Tract 104.01, Jersey County, Illinois","B08014_003",705,271
"1853","17083010402","Census Tract 104.02, Jersey County, Illinois","B08014_003",96,51
"1854","17083010500","Census Tract 105, Jersey County, Illinois","B08014_003",89,49
"1855","17085020100","Census Tract 201, Jo Daviess County, Illinois","B08014_003",269,83
"1856","17085020200","Census Tract 202, Jo Daviess County, Illinois","B08014_003",341,90
"1857","17085020300","Census Tract 203, Jo Daviess County, Illinois","B08014_003",616,266
"1858","17085020401","Census Tract 204.01, Jo Daviess County, Illinois","B08014_003",153,56
"1859","17085020402","Census Tract 204.02, Jo Daviess County, Illinois","B08014_003",189,57
"1860","17085020500","Census Tract 205, Jo Daviess County, Illinois","B08014_003",361,103
"1861","17087977600","Census Tract 9776, Johnson County, Illinois","B08014_003",361,107
"1862","17087977700","Census Tract 9777, Johnson County, Illinois","B08014_003",113,49
"1863","17087977800","Census Tract 9778, Johnson County, Illinois","B08014_003",206,49
"1864","17087980000","Census Tract 9800, Johnson County, Illinois","B08014_003",0,11
"1865","17089850101","Census Tract 8501.01, Kane County, Illinois","B08014_003",470,156
"1866","17089850103","Census Tract 8501.03, Kane County, Illinois","B08014_003",270,107
"1867","17089850105","Census Tract 8501.05, Kane County, Illinois","B08014_003",362,123
"1868","17089850106","Census Tract 8501.06, Kane County, Illinois","B08014_003",238,103
"1869","17089850201","Census Tract 8502.01, Kane County, Illinois","B08014_003",218,101
"1870","17089850202","Census Tract 8502.02, Kane County, Illinois","B08014_003",412,139
"1871","17089850301","Census Tract 8503.01, Kane County, Illinois","B08014_003",366,238
"1872","17089850302","Census Tract 8503.02, Kane County, Illinois","B08014_003",485,139
"1873","17089850400","Census Tract 8504, Kane County, Illinois","B08014_003",135,71
"1874","17089850500","Census Tract 8505, Kane County, Illinois","B08014_003",520,130
"1875","17089850600","Census Tract 8506, Kane County, Illinois","B08014_003",438,116
"1876","17089850701","Census Tract 8507.01, Kane County, Illinois","B08014_003",801,377
"1877","17089850702","Census Tract 8507.02, Kane County, Illinois","B08014_003",743,339
"1878","17089850703","Census Tract 8507.03, Kane County, Illinois","B08014_003",95,40
"1879","17089850800","Census Tract 8508, Kane County, Illinois","B08014_003",362,118
"1880","17089851000","Census Tract 8510, Kane County, Illinois","B08014_003",938,294
"1881","17089851101","Census Tract 8511.01, Kane County, Illinois","B08014_003",290,137
"1882","17089851102","Census Tract 8511.02, Kane County, Illinois","B08014_003",285,113
"1883","17089851301","Census Tract 8513.01, Kane County, Illinois","B08014_003",299,100
"1884","17089851302","Census Tract 8513.02, Kane County, Illinois","B08014_003",287,99
"1885","17089851400","Census Tract 8514, Kane County, Illinois","B08014_003",414,166
"1886","17089851500","Census Tract 8515, Kane County, Illinois","B08014_003",111,40
"1887","17089851600","Census Tract 8516, Kane County, Illinois","B08014_003",627,255
"1888","17089851801","Census Tract 8518.01, Kane County, Illinois","B08014_003",155,67
"1889","17089851904","Census Tract 8519.04, Kane County, Illinois","B08014_003",593,181
"1890","17089851905","Census Tract 8519.05, Kane County, Illinois","B08014_003",599,264
"1891","17089851907","Census Tract 8519.07, Kane County, Illinois","B08014_003",461,157
"1892","17089851908","Census Tract 8519.08, Kane County, Illinois","B08014_003",458,127
"1893","17089851909","Census Tract 8519.09, Kane County, Illinois","B08014_003",344,93
"1894","17089851910","Census Tract 8519.10, Kane County, Illinois","B08014_003",326,98
"1895","17089852001","Census Tract 8520.01, Kane County, Illinois","B08014_003",378,115
"1896","17089852002","Census Tract 8520.02, Kane County, Illinois","B08014_003",836,238
"1897","17089852003","Census Tract 8520.03, Kane County, Illinois","B08014_003",227,98
"1898","17089852101","Census Tract 8521.01, Kane County, Illinois","B08014_003",215,117
"1899","17089852102","Census Tract 8521.02, Kane County, Illinois","B08014_003",312,147
"1900","17089852201","Census Tract 8522.01, Kane County, Illinois","B08014_003",454,137
"1901","17089852202","Census Tract 8522.02, Kane County, Illinois","B08014_003",799,254
"1902","17089852300","Census Tract 8523, Kane County, Illinois","B08014_003",375,115
"1903","17089852401","Census Tract 8524.01, Kane County, Illinois","B08014_003",229,124
"1904","17089852402","Census Tract 8524.02, Kane County, Illinois","B08014_003",226,134
"1905","17089852403","Census Tract 8524.03, Kane County, Illinois","B08014_003",242,73
"1906","17089852500","Census Tract 8525, Kane County, Illinois","B08014_003",581,189
"1907","17089852601","Census Tract 8526.01, Kane County, Illinois","B08014_003",586,164
"1908","17089852606","Census Tract 8526.06, Kane County, Illinois","B08014_003",138,62
"1909","17089852700","Census Tract 8527, Kane County, Illinois","B08014_003",675,200
"1910","17089852803","Census Tract 8528.03, Kane County, Illinois","B08014_003",250,100
"1911","17089852805","Census Tract 8528.05, Kane County, Illinois","B08014_003",350,113
"1912","17089852806","Census Tract 8528.06, Kane County, Illinois","B08014_003",147,83
"1913","17089852807","Census Tract 8528.07, Kane County, Illinois","B08014_003",141,58
"1914","17089852808","Census Tract 8528.08, Kane County, Illinois","B08014_003",559,195
"1915","17089852903","Census Tract 8529.03, Kane County, Illinois","B08014_003",960,313
"1916","17089852904","Census Tract 8529.04, Kane County, Illinois","B08014_003",122,74
"1917","17089852905","Census Tract 8529.05, Kane County, Illinois","B08014_003",301,111
"1918","17089852906","Census Tract 8529.06, Kane County, Illinois","B08014_003",289,149
"1919","17089852907","Census Tract 8529.07, Kane County, Illinois","B08014_003",298,122
"1920","17089853001","Census Tract 8530.01, Kane County, Illinois","B08014_003",203,103
"1921","17089853004","Census Tract 8530.04, Kane County, Illinois","B08014_003",302,93
"1922","17089853005","Census Tract 8530.05, Kane County, Illinois","B08014_003",790,192
"1923","17089853006","Census Tract 8530.06, Kane County, Illinois","B08014_003",165,104
"1924","17089853007","Census Tract 8530.07, Kane County, Illinois","B08014_003",618,171
"1925","17089853008","Census Tract 8530.08, Kane County, Illinois","B08014_003",315,139
"1926","17089853100","Census Tract 8531, Kane County, Illinois","B08014_003",184,61
"1927","17089853200","Census Tract 8532, Kane County, Illinois","B08014_003",813,241
"1928","17089853300","Census Tract 8533, Kane County, Illinois","B08014_003",407,158
"1929","17089853400","Census Tract 8534, Kane County, Illinois","B08014_003",825,208
"1930","17089853500","Census Tract 8535, Kane County, Illinois","B08014_003",241,113
"1931","17089853600","Census Tract 8536, Kane County, Illinois","B08014_003",765,342
"1932","17089853900","Census Tract 8539, Kane County, Illinois","B08014_003",502,140
"1933","17089854001","Census Tract 8540.01, Kane County, Illinois","B08014_003",195,94
"1934","17089854002","Census Tract 8540.02, Kane County, Illinois","B08014_003",402,152
"1935","17089854100","Census Tract 8541, Kane County, Illinois","B08014_003",235,100
"1936","17089854200","Census Tract 8542, Kane County, Illinois","B08014_003",367,132
"1937","17089854301","Census Tract 8543.01, Kane County, Illinois","B08014_003",333,110
"1938","17089854302","Census Tract 8543.02, Kane County, Illinois","B08014_003",459,162
"1939","17089854400","Census Tract 8544, Kane County, Illinois","B08014_003",1574,459
"1940","17089854501","Census Tract 8545.01, Kane County, Illinois","B08014_003",521,253
"1941","17089854503","Census Tract 8545.03, Kane County, Illinois","B08014_003",448,179
"1942","17089854504","Census Tract 8545.04, Kane County, Illinois","B08014_003",469,229
"1943","17089854600","Census Tract 8546, Kane County, Illinois","B08014_003",536,152
"1944","17089854700","Census Tract 8547, Kane County, Illinois","B08014_003",276,70
"1945","17089854800","Census Tract 8548, Kane County, Illinois","B08014_003",217,116
"1946","17089854900","Census Tract 8549, Kane County, Illinois","B08014_003",450,164
"1947","17091010100","Census Tract 101, Kankakee County, Illinois","B08014_003",196,64
"1948","17091010201","Census Tract 102.01, Kankakee County, Illinois","B08014_003",105,39
"1949","17091010202","Census Tract 102.02, Kankakee County, Illinois","B08014_003",746,217
"1950","17091010300","Census Tract 103, Kankakee County, Illinois","B08014_003",89,42
"1951","17091010400","Census Tract 104, Kankakee County, Illinois","B08014_003",253,83
"1952","17091010500","Census Tract 105, Kankakee County, Illinois","B08014_003",379,152
"1953","17091010601","Census Tract 106.01, Kankakee County, Illinois","B08014_003",192,71
"1954","17091010602","Census Tract 106.02, Kankakee County, Illinois","B08014_003",634,204
"1955","17091010701","Census Tract 107.01, Kankakee County, Illinois","B08014_003",437,144
"1956","17091010702","Census Tract 107.02, Kankakee County, Illinois","B08014_003",660,232
"1957","17091010800","Census Tract 108, Kankakee County, Illinois","B08014_003",244,88
"1958","17091010900","Census Tract 109, Kankakee County, Illinois","B08014_003",325,128
"1959","17091011000","Census Tract 110, Kankakee County, Illinois","B08014_003",202,64
"1960","17091011100","Census Tract 111, Kankakee County, Illinois","B08014_003",192,56
"1961","17091011200","Census Tract 112, Kankakee County, Illinois","B08014_003",78,35
"1962","17091011300","Census Tract 113, Kankakee County, Illinois","B08014_003",161,45
"1963","17091011400","Census Tract 114, Kankakee County, Illinois","B08014_003",146,53
"1964","17091011500","Census Tract 115, Kankakee County, Illinois","B08014_003",260,67
"1965","17091011600","Census Tract 116, Kankakee County, Illinois","B08014_003",183,83
"1966","17091011700","Census Tract 117, Kankakee County, Illinois","B08014_003",370,127
"1967","17091011800","Census Tract 118, Kankakee County, Illinois","B08014_003",238,106
"1968","17091011900","Census Tract 119, Kankakee County, Illinois","B08014_003",212,78
"1969","17091012000","Census Tract 120, Kankakee County, Illinois","B08014_003",546,162
"1970","17091012100","Census Tract 121, Kankakee County, Illinois","B08014_003",281,124
"1971","17091012200","Census Tract 122, Kankakee County, Illinois","B08014_003",259,101
"1972","17091012300","Census Tract 123, Kankakee County, Illinois","B08014_003",337,127
"1973","17091012400","Census Tract 124, Kankakee County, Illinois","B08014_003",341,115
"1974","17091012500","Census Tract 125, Kankakee County, Illinois","B08014_003",184,70
"1975","17091012600","Census Tract 126, Kankakee County, Illinois","B08014_003",211,62
"1976","17093890101","Census Tract 8901.01, Kendall County, Illinois","B08014_003",902,388
"1977","17093890102","Census Tract 8901.02, Kendall County, Illinois","B08014_003",547,194
"1978","17093890201","Census Tract 8902.01, Kendall County, Illinois","B08014_003",325,99
"1979","17093890202","Census Tract 8902.02, Kendall County, Illinois","B08014_003",149,70
"1980","17093890301","Census Tract 8903.01, Kendall County, Illinois","B08014_003",651,262
"1981","17093890302","Census Tract 8903.02, Kendall County, Illinois","B08014_003",305,137
"1982","17093890400","Census Tract 8904, Kendall County, Illinois","B08014_003",1172,376
"1983","17093890500","Census Tract 8905, Kendall County, Illinois","B08014_003",1029,322
"1984","17093890600","Census Tract 8906, Kendall County, Illinois","B08014_003",420,132
"1985","17093890700","Census Tract 8907, Kendall County, Illinois","B08014_003",573,203
"1986","17095000100","Census Tract 1, Knox County, Illinois","B08014_003",179,49
"1987","17095000200","Census Tract 2, Knox County, Illinois","B08014_003",158,55
"1988","17095000300","Census Tract 3, Knox County, Illinois","B08014_003",505,147
"1989","17095000400","Census Tract 4, Knox County, Illinois","B08014_003",570,138
"1990","17095000500","Census Tract 5, Knox County, Illinois","B08014_003",413,98
"1991","17095000600","Census Tract 6, Knox County, Illinois","B08014_003",428,119
"1992","17095000700","Census Tract 7, Knox County, Illinois","B08014_003",321,95
"1993","17095000800","Census Tract 8, Knox County, Illinois","B08014_003",232,105
"1994","17095000900","Census Tract 9, Knox County, Illinois","B08014_003",328,91
"1995","17095001000","Census Tract 10, Knox County, Illinois","B08014_003",320,100
"1996","17095001100","Census Tract 11, Knox County, Illinois","B08014_003",387,122
"1997","17095001200","Census Tract 12, Knox County, Illinois","B08014_003",181,55
"1998","17095001300","Census Tract 13, Knox County, Illinois","B08014_003",288,74
"1999","17095001400","Census Tract 14, Knox County, Illinois","B08014_003",83,42
"2000","17095001500","Census Tract 15, Knox County, Illinois","B08014_003",327,138
"2001","17095001600","Census Tract 16, Knox County, Illinois","B08014_003",145,43
"2002","17097860101","Census Tract 8601.01, Lake County, Illinois","B08014_003",662,223
"2003","17097860103","Census Tract 8601.03, Lake County, Illinois","B08014_003",155,70
"2004","17097860104","Census Tract 8601.04, Lake County, Illinois","B08014_003",369,109
"2005","17097860200","Census Tract 8602, Lake County, Illinois","B08014_003",395,154
"2006","17097860301","Census Tract 8603.01, Lake County, Illinois","B08014_003",296,145
"2007","17097860302","Census Tract 8603.02, Lake County, Illinois","B08014_003",282,85
"2008","17097860400","Census Tract 8604, Lake County, Illinois","B08014_003",456,190
"2009","17097860500","Census Tract 8605, Lake County, Illinois","B08014_003",397,125
"2010","17097860600","Census Tract 8606, Lake County, Illinois","B08014_003",419,161
"2011","17097860805","Census Tract 8608.05, Lake County, Illinois","B08014_003",138,70
"2012","17097860806","Census Tract 8608.06, Lake County, Illinois","B08014_003",420,144
"2013","17097860807","Census Tract 8608.07, Lake County, Illinois","B08014_003",484,151
"2014","17097860808","Census Tract 8608.08, Lake County, Illinois","B08014_003",157,57
"2015","17097860809","Census Tract 8608.09, Lake County, Illinois","B08014_003",191,78
"2016","17097860810","Census Tract 8608.10, Lake County, Illinois","B08014_003",639,196
"2017","17097860811","Census Tract 8608.11, Lake County, Illinois","B08014_003",187,91
"2018","17097860903","Census Tract 8609.03, Lake County, Illinois","B08014_003",735,257
"2019","17097860904","Census Tract 8609.04, Lake County, Illinois","B08014_003",644,189
"2020","17097860905","Census Tract 8609.05, Lake County, Illinois","B08014_003",371,161
"2021","17097860906","Census Tract 8609.06, Lake County, Illinois","B08014_003",379,137
"2022","17097861007","Census Tract 8610.07, Lake County, Illinois","B08014_003",170,85
"2023","17097861008","Census Tract 8610.08, Lake County, Illinois","B08014_003",369,116
