"","GEOID","NAME","variable","estimate","moe"
"361","17031190402","Census Tract 1904.02, Cook County, Illinois","B08014_002",108,73
"362","17031190601","Census Tract 1906.01, Cook County, Illinois","B08014_002",126,113
"363","17031190602","Census Tract 1906.02, Cook County, Illinois","B08014_002",173,147
"364","17031190701","Census Tract 1907.01, Cook County, Illinois","B08014_002",85,69
"365","17031190702","Census Tract 1907.02, Cook County, Illinois","B08014_002",264,127
"366","17031190800","Census Tract 1908, Cook County, Illinois","B08014_002",138,97
"367","17031190900","Census Tract 1909, Cook County, Illinois","B08014_002",92,143
"368","17031191000","Census Tract 1910, Cook County, Illinois","B08014_002",68,58
"369","17031191100","Census Tract 1911, Cook County, Illinois","B08014_002",139,106
"370","17031191200","Census Tract 1912, Cook County, Illinois","B08014_002",248,116
"371","17031191301","Census Tract 1913.01, Cook County, Illinois","B08014_002",421,232
"372","17031191302","Census Tract 1913.02, Cook County, Illinois","B08014_002",267,181
"373","17031200100","Census Tract 2001, Cook County, Illinois","B08014_002",214,161
"374","17031200200","Census Tract 2002, Cook County, Illinois","B08014_002",273,114
"375","17031200300","Census Tract 2003, Cook County, Illinois","B08014_002",104,79
"376","17031200401","Census Tract 2004.01, Cook County, Illinois","B08014_002",149,81
"377","17031200402","Census Tract 2004.02, Cook County, Illinois","B08014_002",58,58
"378","17031210100","Census Tract 2101, Cook County, Illinois","B08014_002",265,136
"379","17031210400","Census Tract 2104, Cook County, Illinois","B08014_002",149,65
"380","17031210501","Census Tract 2105.01, Cook County, Illinois","B08014_002",388,149
"381","17031210502","Census Tract 2105.02, Cook County, Illinois","B08014_002",364,161
"382","17031210601","Census Tract 2106.01, Cook County, Illinois","B08014_002",153,97
"383","17031210602","Census Tract 2106.02, Cook County, Illinois","B08014_002",487,191
"384","17031210700","Census Tract 2107, Cook County, Illinois","B08014_002",366,138
"385","17031210800","Census Tract 2108, Cook County, Illinois","B08014_002",56,33
